[Parameters]
Operating Mode, Non-Feedback
0.135,0.038,0.276,-5.337
0.144,0.036,0.281,-5.337
0.132,0.038,0.283,-5.337
0.126,0.038,0.284,-5.337
0.094,0.040,0.282,-5.337
0.065,0.038,0.276,-5.337
0.020,0.038,0.277,-5.337
-0.040,0.039,0.281,-5.337
-0.040,0.040,0.286,-5.337
0.052,0.034,0.287,-5.337
0.154,0.033,0.284,-5.337
0.189,0.037,0.282,-5.337
0.202,0.040,0.278,-5.337
0.210,0.043,0.278,-5.337
0.142,0.045,0.279,-5.337
0.075,0.043,0.282,-5.337
0.121,0.037,0.279,-5.337
0.172,0.036,0.280,-5.337
0.092,0.039,0.279,-5.337
0.135,0.037,0.281,-5.337
0.175,0.035,0.282,-5.337
0.134,0.037,0.283,-5.337
0.105,0.037,0.284,-5.337
0.084,0.042,0.289,-5.337
0.161,0.039,0.290,-5.337
0.204,0.040,0.285,-5.337
0.107,0.043,0.281,-5.337
0.019,0.043,0.280,-5.337
-0.054,0.044,0.281,-5.337
-0.072,0.044,0.285,-5.337
0.003,0.047,0.284,-5.337
-0.015,0.048,0.286,-5.337
-0.050,0.046,0.284,-5.337
0.022,0.045,0.281,-5.337
0.089,0.044,0.280,-5.337
0.163,0.045,0.278,-5.337
0.157,0.045,0.281,-5.337
0.148,0.042,0.283,-5.337
0.166,0.039,0.282,-5.337
0.135,0.041,0.278,-5.337
0.164,0.042,0.281,-5.337
0.135,0.042,0.284,-5.337
0.115,0.043,0.287,-5.337
0.154,0.044,0.284,-5.337
0.137,0.046,0.280,-5.337
0.040,0.052,0.280,-5.337
0.124,0.048,0.281,-5.337
0.160,0.043,0.279,-5.337
0.068,0.042,0.277,-5.337
-0.009,0.042,0.279,-5.337
0.033,0.045,0.279,-5.337
0.118,0.043,0.281,-5.337
0.232,0.043,0.283,-5.337
0.247,0.042,0.282,-5.337
0.268,0.040,0.283,-5.337
0.237,0.042,0.280,-5.337
0.194,0.042,0.274,-5.337
